Date,BR,Btem
1/1/2011,1.9,29.6
1/2/2011,0,29.6
1/3/2011,0.4,28.6
1/4/2011,2.7,27.1
1/5/2011,1.5,27.1
1/6/2011,3.2,26.1
1/7/2011,24.2,27.1
1/8/2011,85.4,26.1
1/9/2011,0,24.1
1/10/2011,0,25.1
1/11/2011,0,NaN
1/12/2011,0,24.1
1/13/2011,0,22.1
1/14/2011,0,24.6
1/15/2011,0,30.6
1/16/2011,0,29.1
1/17/2011,0,30.1
1/18/2011,0,30.1
1/19/2011,0,30.1
1/20/2011,0,29.6
1/21/2011,0,29.6
1/22/2011,0,28.6
1/23/2011,0,30.1
1/24/2011,0,29.1
1/25/2011,3.5,29.1
1/26/2011,1,28.6
1/27/2011,3.7,27.6
1/28/2011,1.2,28.6
1/29/2011,4.6,29.1
1/30/2011,3.1,29.1
1/31/2011,16.7,27.1
2/1/2011,28.1,25.6
2/2/2011,71.1,24.1
2/3/2011,22.4,24.6
2/4/2011,7.1,25.1
2/5/2011,5.5,25.6
2/6/2011,4.8,27.1
2/7/2011,8,25.1
2/8/2011,0,28.1
2/9/2011,0,30.1
2/10/2011,0,29.1
2/11/2011,0,29.1
2/12/2011,0,30.1
2/13/2011,0,30.1
2/14/2011,0,32.1
2/15/2011,0,31.6
2/16/2011,0,31.6
2/17/2011,0,32.6
2/18/2011,0,32.1
2/19/2011,17.3,32.6
2/20/2011,6.1,32.1
2/21/2011,5.1,32.1
2/22/2011,0,32.6
2/23/2011,0,31.6
2/24/2011,0,33.1
2/25/2011,0,31.1
2/26/2011,0,31.1
2/27/2011,0,31.6
2/28/2011,4.7,31.1
3/1/2011,0,29.6
3/2/2011,0,29.6
3/3/2011,0,31.6
3/4/2011,9.2,31.1
3/5/2011,0,32.6
3/6/2011,0,33.1
3/7/2011,0,32.6
3/8/2011,0,34.1
3/9/2011,0,34.1
3/10/2011,0,34.5
3/11/2011,0,32.6
3/12/2011,0,33.6
3/13/2011,0,34.1
3/14/2011,0,32.6
3/15/2011,0,32.6
3/16/2011,0,32.1
3/17/2011,0,32.6
3/18/2011,0,32.6
3/19/2011,0.7,34.6
3/20/2011,1.5,34.6
3/21/2011,20.9,34.6
3/22/2011,1.3,33.6
3/23/2011,0,30.1
3/24/2011,3.2,30.1
3/25/2011,0,32.6
3/26/2011,0,33.1
3/27/2011,0,34.1
3/28/2011,10,33.6
3/29/2011,11.8,33.1
3/30/2011,0,32.6
3/31/2011,0,34.1
4/1/2011,0,34.1
4/2/2011,0,33.1
4/3/2011,0,33.1
4/4/2011,0,34.1
4/5/2011,0,34.1
4/6/2011,0,34.6
4/7/2011,0,34.1
4/8/2011,8.2,33.1
4/9/2011,45,31.6
4/10/2011,3.4,34.1
4/11/2011,0,33.1
4/12/2011,5.2,32.1
