Date,WL
1/1/2011,1.61
1/2/2011,1.63
1/3/2011,1.68
1/4/2011,1.59
1/5/2011,1.68
1/6/2011,1.58
1/7/2011,1.58
1/8/2011,1.56
1/9/2011,2.48
1/10/2011,3.72
1/11/2011,3.69
1/12/2011,2.19
1/13/2011,1.57
1/14/2011,1.61
1/15/2011,1.67
1/16/2011,1.95
1/17/2011,1.63
1/18/2011,1.61
1/19/2011,1.57
1/20/2011,1.56
1/21/2011,1.55
1/22/2011,1.6
1/23/2011,1.57
1/24/2011,1.52
1/25/2011,1.63
1/26/2011,1.58
1/27/2011,1.57
1/28/2011,1.58
1/29/2011,1.59
1/30/2011,1.61
1/31/2011,1.6
2/1/2011,1.59
2/2/2011,1.6
2/3/2011,2.45
2/4/2011,3.33
2/5/2011,2.13
2/6/2011,1.65
2/7/2011,1.77
2/8/2011,1.65
2/9/2011,1.56
2/10/2011,1.63
2/11/2011,1.6
2/12/2011,1.65
2/13/2011,1.6
2/14/2011,1.64
2/15/2011,1.58
2/16/2011,1.62
2/17/2011,1.6
2/18/2011,1.58
2/19/2011,1.6
2/20/2011,1.6
2/21/2011,1.6
2/22/2011,1.59
2/23/2011,1.58
2/24/2011,1.58
2/25/2011,1.57
2/26/2011,1.5
2/27/2011,1.6
2/28/2011,1.59
3/1/2011,1.59
3/2/2011,1.6
3/3/2011,1.58
3/4/2011,1.6
3/5/2011,1.57
3/6/2011,1.59
3/7/2011,1.58
3/8/2011,1.57
3/9/2011,1.6
3/10/2011,1.59
3/11/2011,1.57
3/12/2011,1.58
3/13/2011,1.6
3/14/2011,1.57
3/15/2011,1.52
3/16/2011,1.66
3/17/2011,1.54
3/18/2011,1.61
3/19/2011,1.63
3/20/2011,1.62
3/21/2011,1.57
3/22/2011,1.61
3/23/2011,1.57
3/24/2011,1.58
3/25/2011,1.55
3/26/2011,1.56
3/27/2011,1.55
3/28/2011,1.56
3/29/2011,1.57
3/30/2011,1.58
3/31/2011,1.59
4/1/2011,1.61
4/2/2011,1.6
4/3/2011,1.6
4/4/2011,1.6
4/5/2011,1.61
4/6/2011,1.61
4/7/2011,1.61
4/8/2011,1.6
4/9/2011,1.6
4/10/2011,1.63
4/11/2011,1.6
4/12/2011,1.53
4/13/2011,1.63
4/14/2011,1.57
4/15/2011,1.6
4/16/2011,1.62
4/17/2011,1.65
4/18/2011,2.56
4/19/2011,2.82
4/20/2011,2.58
4/21/2011,2.16
4/22/2011,1.99
4/23/2011,2.25
4/24/2011,2.79
4/25/2011,1.78
4/26/2011,1.56
4/27/2011,1.59
4/28/2011,2.14
4/29/2011,3.26
4/30/2011,2.48
5/1/2011,1.75
5/2/2011,1.63
5/3/2011,1.95
5/4/2011,1.62
5/5/2011,1.64
5/6/2011,1.56
5/7/2011,1.61
5/8/2011,1.6
5/9/2011,1.62
5/10/2011,1.55
5/11/2011,1.55
5/12/2011,1.56
5/13/2011,1.55
5/14/2011,1.6
5/15/2011,1.6
5/16/2011,1.55
5/17/2011,1.55
5/18/2011,1.55
5/19/2011,1.56
5/20/2011,1.55
5/21/2011,1.63
5/22/2011,1.51
5/23/2011,1.61
5/24/2011,1.6
5/25/2011,1.6
5/26/2011,1.6
5/27/2011,1.73
5/28/2011,1.55
5/29/2011,1.52
5/30/2011,1.59
5/31/2011,1.56
6/1/2011,1.65
6/2/2011,1.63
6/3/2011,1.67
6/4/2011,1.6
6/5/2011,1.57
6/6/2011,1.64
6/7/2011,1.56
6/8/2011,1.6
6/9/2011,1.6
6/10/2011,1.65
6/11/2011,1.55
6/12/2011,1.61
6/13/2011,1.6
6/14/2011,1.6
6/15/2011,1.65
6/16/2011,1.56
6/17/2011,1.6
6/18/2011,1.57
6/19/2011,1.58
6/20/2011,1.59
6/21/2011,1.65
6/22/2011,1.6
6/23/2011,1.61
6/24/2011,1.6
6/25/2011,1.65
6/26/2011,1.6
6/27/2011,1.6
6/28/2011,1.61
6/29/2011,1.62
6/30/2011,1.6
7/1/2011,1.6
7/2/2011,1.6
7/3/2011,1.6
7/4/2011,1.64
7/5/2011,1.57
7/6/2011,1.56
7/7/2011,1.52
7/8/2011,1.55
7/9/2011,1.55
7/10/2011,1.51
7/11/2011,1.58
7/12/2011,1.55
7/13/2011,1.54
7/14/2011,1.55
7/15/2011,1.55
7/16/2011,1.55
7/17/2011,1.55
7/18/2011,1.65
7/19/2011,1.55
7/20/2011,1.55
7/21/2011,1.6
7/22/2011,1.6
7/23/2011,1.58
7/24/2011,1.58
7/25/2011,1.55
7/26/2011,1.55
7/27/2011,1.58
7/28/2011,1.55
7/29/2011,1.51
7/30/2011,1.59
7/31/2011,1.58
8/1/2011,1.57
8/2/2011,1.56
8/3/2011,1.55
8/4/2011,1.56
8/5/2011,1.57
8/6/2011,1.55
8/7/2011,1.54
8/8/2011,1.59
8/9/2011,1.55
8/10/2011,1.53
8/11/2011,1.6
8/12/2011,1.59
8/13/2011,1.6
8/14/2011,1.58
8/15/2011,1.6
8/16/2011,1.51
8/17/2011,1.6
8/18/2011,1.56
8/19/2011,1.59
8/20/2011,1.59
8/21/2011,1.58
8/22/2011,1.56
8/23/2011,1.55
8/24/2011,1.56
8/25/2011,1.57
8/26/2011,1.58
8/27/2011,1.63
8/28/2011,1.59
8/29/2011,1.61
8/30/2011,1.59
8/31/2011,1.59
9/1/2011,1.47
9/2/2011,1.46
9/3/2011,1.42
9/4/2011,1.47
9/5/2011,1.52
9/6/2011,1.47
9/7/2011,1.52
9/8/2011,1.5
9/9/2011,1.52
9/10/2011,1.57
9/11/2011,1.56
9/12/2011,1.47
9/13/2011,1.52
9/14/2011,1.62
9/15/2011,1.52
9/16/2011,1.47
9/17/2011,1.48
9/18/2011,1.48
9/19/2011,1.57
9/20/2011,1.5
9/21/2011,1.57
9/22/2011,1.46
9/23/2011,1.46
9/24/2011,1.45
9/25/2011,1.48
9/26/2011,1.5
9/27/2011,1.46
9/28/2011,1.48
9/29/2011,1.46
9/30/2011,1.48
10/1/2011,1.55
10/2/2011,1.65
10/3/2011,1.6
10/4/2011,1.5
10/5/2011,1.55
10/6/2011,1.58
10/7/2011,1.58
10/8/2011,1.55
10/9/2011,1.58
10/10/2011,1.58
10/11/2011,1.58
10/12/2011,1.6
10/13/2011,1.53
10/14/2011,1.6
10/15/2011,1.6
10/16/2011,1.6
10/17/2011,1.63
10/18/2011,1.68
10/19/2011,1.65
10/20/2011,1.63
10/21/2011,1.58
10/22/2011,1.58
10/23/2011,1.55
10/24/2011,1.55
10/25/2011,1.68
10/26/2011,1.73
10/27/2011,1.75
10/28/2011,1.88
10/29/2011,1.85
10/30/2011,1.8
10/31/2011,1.85
11/1/2011,1.99
11/2/2011,1.99
11/3/2011,1.73
11/4/2011,1.58
11/5/2011,1.55
11/6/2011,1.6
11/7/2011,1.65
11/8/2011,1.65
11/9/2011,1.6
11/10/2011,1.58
11/11/2011,1.53
11/12/2011,1.58
11/13/2011,1.63
11/14/2011,1.58
11/15/2011,1.55
11/16/2011,1.55
11/17/2011,1.5
11/18/2011,1.53
11/19/2011,1.53
11/20/2011,1.58
11/21/2011,1.58
11/22/2011,1.55
11/23/2011,1.58
11/24/2011,1.58
11/25/2011,1.53
11/26/2011,1.48
11/27/2011,1.45
11/28/2011,1.55
11/29/2011,1.6
11/30/2011,1.55
12/1/2011,1.48
12/2/2011,1.53
12/3/2011,1.53
12/4/2011,1.55
12/5/2011,1.63
12/6/2011,1.58
12/7/2011,1.48
12/8/2011,1.48
12/9/2011,1.48
12/10/2011,1.53
12/11/2011,1.53
12/12/2011,1.58
12/13/2011,1.58
12/14/2011,1.6
12/15/2011,1.63
12/16/2011,1.65
12/17/2011,1.65
12/18/2011,1.63
12/19/2011,1.6
12/20/2011,1.65
12/21/2011,1.65
12/22/2011,1.6
12/23/2011,1.55
12/24/2011,1.53
12/25/2011,1.53
12/26/2011,1.55
12/27/2011,1.6
12/28/2011,1.63
12/29/2011,1.63
12/30/2011,1.63
12/31/2011,1.68
1/1/2012,1.63
1/2/2012,1.6
1/3/2012,1.48
1/4/2012,1.5
1/5/2012,1.5
1/6/2012,1.48
1/7/2012,1.53
1/8/2012,1.53
1/9/2012,1.55
1/10/2012,1.55
1/11/2012,1.53
1/12/2012,1.48
1/13/2012,1.5
1/14/2012,1.58
1/15/2012,1.58
1/16/2012,1.55
1/17/2012,1.53
1/18/2012,1.53
1/19/2012,1.53
1/20/2012,1.5
1/21/2012,1.53
1/22/2012,1.53
1/23/2012,1.58
1/24/2012,1.53
1/25/2012,1.53
1/26/2012,1.55
1/27/2012,1.53
1/28/2012,1.53
1/29/2012,1.58
1/30/2012,1.58
1/31/2012,1.53
2/1/2012,1.63
2/2/2012,1.63
2/3/2012,1.63
2/4/2012,1.63
2/5/2012,1.63
2/6/2012,1.6
2/7/2012,1.55
2/8/2012,1.53
2/9/2012,1.5
2/10/2012,1.58
2/11/2012,1.58
2/12/2012,1.58
2/13/2012,1.58
2/14/2012,1.58
2/15/2012,1.6
2/16/2012,1.58
2/17/2012,1.53
2/18/2012,1.53
2/19/2012,1.53
2/20/2012,1.53
2/21/2012,1.6
2/22/2012,1.63
2/23/2012,1.6
2/24/2012,1.6
2/25/2012,1.58
2/26/2012,1.63
2/27/2012,1.63
2/28/2012,1.65
2/29/2012,1.65
3/1/2012,1.55
3/2/2012,1.53
3/3/2012,1.53
3/4/2012,1.63
3/5/2012,1.65
3/6/2012,1.65
3/7/2012,1.68
3/8/2012,1.6
3/9/2012,1.55
3/10/2012,1.55
3/11/2012,1.58
3/12/2012,1.58
3/13/2012,1.6
3/14/2012,1.63
3/15/2012,1.6
3/16/2012,1.6
3/17/2012,1.6
3/18/2012,1.63
3/19/2012,1.65
3/20/2012,1.63
3/21/2012,1.63
3/22/2012,1.55
3/23/2012,1.55
3/24/2012,1.58
3/25/2012,1.55
3/26/2012,1.53
3/27/2012,1.55
3/28/2012,1.6
3/29/2012,1.58
