Date,KR,Ktem
1/1/2011,0.6,31.3
1/2/2011,0.3,31
1/3/2011,0.2,29.5
1/4/2011,0.3,28.6
1/5/2011,0,28.5
1/6/2011,1.2,27.5
1/7/2011,5,27.6
1/8/2011,56.6,27.9
1/9/2011,34.8,21.5
1/10/2011,2.5,26
1/11/2011,0,26.6
1/12/2011,7.8,25
1/13/2011,2.1,23
1/14/2011,15.4,24.6
1/15/2011,0,31.5
1/16/2011,0,30
1/17/2011,0,32.2
1/18/2011,0,32
1/19/2011,0,32.3
1/20/2011,0,31.3
1/21/2011,0,31
1/22/2011,0,30
1/23/2011,0,30.6
1/24/2011,0,30.8
1/25/2011,6.8,31.1
1/26/2011,0.3,28.4
1/27/2011,4.7,28
1/28/2011,1.2,30.5
1/29/2011,11.8,30.8
1/30/2011,0.5,31.7
1/31/2011,25.4,28.5
2/1/2011,20.2,26.3
2/2/2011,58.1,24
2/3/2011,16.2,25.5
2/4/2011,10.6,25.6
2/5/2011,1.8,26.2
2/6/2011,8.1,28.6
2/7/2011,8.7,25.7
2/8/2011,0,29.5
2/9/2011,0,31.5
2/10/2011,0,30.9
2/11/2011,0,29.9
2/12/2011,0,31.8
2/13/2011,0,32.3
2/14/2011,0,32.8
2/15/2011,0,32.9
2/16/2011,0,33
2/17/2011,0,34.2
2/18/2011,0,33
2/19/2011,3.9,34
2/20/2011,0,33.5
2/21/2011,20.7,33.8
2/22/2011,0,33
2/23/2011,0,32.6
2/24/2011,0,33.1
2/25/2011,0,32.6
2/26/2011,0,32.2
2/27/2011,0,32.5
2/28/2011,6.1,32.8
3/1/2011,0,30.9
3/2/2011,0,31.8
3/3/2011,0,33.3
3/4/2011,13,32.9
3/5/2011,0,33.5
3/6/2011,0,34
3/7/2011,0,34.4
3/8/2011,0,35.3
3/9/2011,0,35.6
3/10/2011,0,35.7
3/11/2011,0,34
3/12/2011,3.1,34.4
3/13/2011,0,34.7
3/14/2011,4,33.8
3/15/2011,0,33.5
3/16/2011,0,34.4
3/17/2011,0,34.1
3/18/2011,0,34.1
3/19/2011,0,35.1
3/20/2011,14.5,35.5
3/21/2011,0,35
3/22/2011,0,34
3/23/2011,1,34
3/24/2011,0.9,32.3
3/25/2011,47.8,33.5
3/26/2011,0,34.1
3/27/2011,2.5,34.7
3/28/2011,0,34.1
3/29/2011,0,34.5
3/30/2011,0,34.5
3/31/2011,0,35.5
4/1/2011,0,35
4/2/2011,0,35
4/3/2011,0,34
4/4/2011,14.5,34.8
4/5/2011,0,34.7
4/6/2011,0,34.9
4/7/2011,0,34
4/8/2011,15.7,34
4/9/2011,56.3,33
4/10/2011,13.5,34
4/11/2011,0,34
4/12/2011,10.7,33
4/13/2011,3.5,34
4/14/2011,25.6,33.1
4/15/2011,2,33.2
4/16/2011,26.4,33.5
4/17/2011,144.4,34.1
4/18/2011,2.4,33
4/19/2011,29.9,33
4/20/2011,92.9,33
4/21/2011,35.2,34.2
4/22/2011,77.4,32.9
4/23/2011,15.2,30.4
4/24/2011,0,32.6
4/25/2011,0.3,30.8
4/26/2011,14.1,31.3
4/27/2011,7.5,31.3
4/28/2011,46.2,27.5
4/29/2011,0,32.9
4/30/2011,0.4,32
5/1/2011,84.7,31.2
5/2/2011,1.3,30.2
5/3/2011,0,32.4
5/4/2011,0,32.1
5/5/2011,0,32.4
5/6/2011,0,33
5/7/2011,0,33
5/8/2011,0,33.4
5/9/2011,0,32.7
5/10/2011,0,32.3
5/11/2011,0,33.6
5/12/2011,0,33.3
5/13/2011,0,33.4
5/14/2011,0,34
5/15/2011,0,33.7
5/16/2011,0,35.1
5/17/2011,2.9,33.5
5/18/2011,0,34.1
5/19/2011,0,34
5/20/2011,0,34
5/21/2011,0,34.6
5/22/2011,0,33.9
5/23/2011,0,34.1
5/24/2011,1.1,34.7
5/25/2011,18.8,33.5
5/26/2011,19.4,32.5
5/27/2011,15.7,31
5/28/2011,24.6,29.6
5/29/2011,16.1,31
5/30/2011,2.2,32
5/31/2011,36.2,30.6
6/1/2011,22.2,30.9
6/2/2011,0,31.5
6/3/2011,1,32.7
6/4/2011,0,31.4
6/5/2011,0,32.7
6/6/2011,11.2,30.5
6/7/2011,2.9,32
6/8/2011,0.1,32.1
6/9/2011,8.5,30.4
6/10/2011,0,32.1
6/11/2011,0,32.5
6/12/2011,0,32.5
6/13/2011,0,32.5
6/14/2011,5.2,31.5
6/15/2011,0.7,30.5
6/16/2011,3.9,30.4
6/17/2011,2.9,32
6/18/2011,5.9,31.5
6/19/2011,0,32.2
6/20/2011,0,31.9
6/21/2011,0,32.2
6/22/2011,0,31.9
6/23/2011,0,32
6/24/2011,0,31.7
6/25/2011,0,31.6
6/26/2011,0,31.6
6/27/2011,0.2,32
6/28/2011,0,31.8
6/29/2011,0,33
6/30/2011,0,33.4
7/1/2011,0,32.7
7/2/2011,0,32.6
7/3/2011,0,32.8
7/4/2011,0,33.5
7/5/2011,1,32.7
7/6/2011,0,32.1
7/7/2011,0,33.3
7/8/2011,0,33.1
7/9/2011,0,32
7/10/2011,0,32.5
7/11/2011,0,33
7/12/2011,6.6,31.2
7/13/2011,0,30.9
7/14/2011,0,32
7/15/2011,22,33
7/16/2011,1.7,30.5
7/17/2011,4.1,29.5
7/18/2011,0,30.9
7/19/2011,0,32
7/20/2011,0.1,31
7/21/2011,0,31.5
7/22/2011,0,32.7
