Date,MR,CR
1/1/2011,0,0
1/2/2011,4.5,0
1/3/2011,3.9,0
1/4/2011,0,0
1/5/2011,13.1,0
1/6/2011,0,0
1/7/2011,0,0
1/8/2011,0,0
1/9/2011,41.7,0
1/10/2011,30.2,0
1/11/2011,10,2.3
1/12/2011,0,0
1/13/2011,9.3,0
1/14/2011,1.7,0
1/15/2011,16.1,0
1/16/2011,0,0
1/17/2011,0,0
1/18/2011,0,0
1/19/2011,0,0
1/20/2011,0,0
1/21/2011,0,2
1/22/2011,0,0
1/23/2011,0,0
1/24/2011,0,0
1/25/2011,0,0
1/26/2011,0,0
1/27/2011,0,0
1/28/2011,0,1.5
1/29/2011,0,0
1/30/2011,0,0
1/31/2011,0,0
2/1/2011,10.73,0
2/2/2011,50.89,0
2/3/2011,47.39,0
2/4/2011,36.47,0
2/5/2011,14.28,0
2/6/2011,4.89,0
2/7/2011,49.67,0
2/8/2011,0,0
2/9/2011,0,0
2/10/2011,0,0
2/11/2011,0,0
2/12/2011,0,0
2/13/2011,0,0
2/14/2011,0,0
2/15/2011,0,0
2/16/2011,0,0
2/17/2011,0,0
2/18/2011,0,0
2/19/2011,0,0
2/20/2011,0,0
2/21/2011,0.39,0
2/22/2011,0,0
2/23/2011,0,0
2/24/2011,0,0
2/25/2011,0,0
2/26/2011,0,0
2/27/2011,0,0
2/28/2011,6.76,0
3/1/2011,4.9,0
3/2/2011,3.1,0
3/3/2011,0,0
3/4/2011,0,0
3/5/2011,0,0
3/6/2011,0,0
3/7/2011,0,0
3/8/2011,0,0
3/9/2011,0,0
3/10/2011,0,0
3/11/2011,1,0
3/12/2011,0,0
3/13/2011,0,0
3/14/2011,0,0
3/15/2011,4.1,0
3/16/2011,0,0
3/17/2011,0,0
3/18/2011,0,0
3/19/2011,0,0
3/20/2011,0,0
3/21/2011,0,0
3/22/2011,5.4,0
3/23/2011,3.8,0
3/24/2011,0,0
3/25/2011,19.7,0
3/26/2011,0,0
3/27/2011,0,0
3/28/2011,0,0
3/29/2011,0,0
3/30/2011,0,0
3/31/2011,0,0
4/1/2011,0,0
4/2/2011,0,0
4/3/2011,0,0
4/4/2011,0,0
4/5/2011,0,0
4/6/2011,0,0
4/7/2011,41.8,0
4/8/2011,26.1,0
4/9/2011,53.9,0
4/10/2011,0,0
4/11/2011,0,0
4/12/2011,0,0
4/13/2011,0,0
4/14/2011,0,0
4/15/2011,0,0
4/16/2011,0,0
4/17/2011,0,0
4/18/2011,0,0
4/19/2011,0,0
4/20/2011,0,0
4/21/2011,0,0
4/22/2011,0,0
4/23/2011,0,0
4/24/2011,0,0
4/25/2011,0,2
4/26/2011,0,0
4/27/2011,0,30.8
4/28/2011,0,0
4/29/2011,0,0
4/30/2011,0,0
5/1/2011,0,0
